From,To,ProbabilityOfTags
N,V,0.11080345410174582
N,Z,0.0005162380326637883
N,^,0.011310305988361179
N,~,0.005209311056880044
O,!,0.005810630596304058
O,$,0.001047818632120404
O,&,0.01724137931034483
O,",",0.09725662030863022
O,@,0.001047818632120404
O,A,0.022956753667365215
O,D,0.022004191274528483
O,E,0.008668317774814251
O,END,0.015336254524671368
O,G,0.003905505810630596
O,L,0.001047818632120404
O,N,0.02009906648885502
O,O,0.022004191274528483
O,P,0.04581825109544675
O,R,0.08296818441607925
O,T,0.010573442560487712
O,U,0.0020003810249571347
O,V,0.6030672509049343
O,X,0.001047818632120404
O,^,0.009620880167650982
O,~,0.005810630596304058
P,!,0.0015443447565818503
P,#,0.0015443447565818503
P,$,0.034637446683335786
P,&,0.0015443447565818503
P,",",0.02654802176790705
P,@,0.02654802176790705
P,A,0.03243123988821886
P,D,0.2434916899544051
P,E,0.000808942491542874
P,END,0.003750551551698779
P,G,0.006692160611854684
P,L,0.019193999117517284
P,N,0.12362112075305191
P,O,0.12803353434328577
P,P,0.01992940138255626
P,R,0.01772319458743933
P,S,0.0015443447565818503
P,U,0.0015443447565818503
P,V,0.15303721135461099
P,X,0.0044859538167377555
P,Z,0.008162965141932637
P,^,0.13906456831887043
P,~,0.003750551551698779
R,!,0.007124895222129086
R,#,0.0029337803855825654
R,$,0.004330818664431406
R,&,0.008521933500977926
R,",",0.15101983794355966
R,@,0.0015367421067337247
R,A,0.1663872590108969
R,D,0.0420508521933501
R,E,0.011316010058675607
R,END,0.01690416317407097
R,G,0.007124895222129086
R,L,0.01550712489522213
R,N,0.011316010058675607
R,O,0.07697680916457111
R,P,0.11329980441464096
R,R,0.086756077116513
R,U,0.004330818664431406
R,V,0.253003632299525
R,Z,0.0015367421067337247
R,^,0.014110086616373288
R,~,0.0029337803855825654
S,",",0.05851063829787234
S,A,0.11170212765957446
S,N,0.6436170212765957
S,^,0.05851063829787234
START,!,0.05897807573835839
START,#,0.01820982061967748
START,$,0.007338285921362566
START,&,0.002808479797064686
START,",",0.014585975720239175
START,@,0.3026816452255844
START,A,0.035423083892009426
START,D,0.029987316542851968
START,E,0.008244247146222142
START,G,0.007338285921362566
START,L,0.036329045116869
START,M,0.0009965573473455338
START,N,0.05716615328863925
START,O,0.07256749411125203
START,P,0.019115781844537057
START,R,0.030893277767711544
START,S,0.002808479797064686
START,U,0.002808479797064686
START,V,0.07890922268526906
START,X,0.0019025185722051099
START,Z,0.0009965573473455338
START,^,0.066225765537235
START,~,0.14323246965029895
T,&,0.010018214936247724
T,",",0.2103825136612022
T,@,0.010018214936247724
T,A,0.010018214936247724
T,D,0.1830601092896175
T,E,0.010018214936247724
T,END,0.028233151183970857
T,G,0.01912568306010929
T,N,0.07377049180327869
T,O,0.028233151183970857
T,P,0.22859744990892533
T,R,0.06466302367941712
T,V,0.05555555555555555
T,^,0.05555555555555555
U,!,0.00811437403400309
U,#,0.05834621329211746
U,$,0.00811437403400309
U,&,0.015842349304482223
U,",",0.03902627511591963
U,@,0.00811437403400309
U,A,0.004250386398763524
U,END,0.7036321483771252
U,G,0.00811437403400309
U,O,0.004250386398763524
U,P,0.042890262751159196
U,R,0.004250386398763524
U,U,0.015842349304482223
U,V,0.027434312210200925
U,^,0.004250386398763524
U,~,0.042890262751159196
V,!,0.004267365218860909
V,#,0.0008872739563968227
V,$,0.011027547743789083
V,&,0.00976001352036505
V,",",0.0782068615852628
V,@,0.008492479296941018
V,A,0.051588642893358114
V,D,0.15594896062193678
V,E,0.0025773195876288655
V,END,0.013985127598445158
V,G,0.0025773195876288655
V,L,0.008914990704749028
V,N,0.0625739394963664
V,O,0.12341558222071997
V,P,0.16313165455467296
V,R,0.06975663342910257
V,S,0.0004647625485888119
V,T,0.03426567517322967
V,U,0.0021548081798208546
V,V,0.15552644921412878
V,X,0.0004647625485888119
V,Z,0.0029998309954368764
V,^,0.03299814094980564
V,~,0.003844853811052898
X,",",0.052884615384615384
X,D,0.38942307692307687
X,V,0.43749999999999994
Y,D,0.2894736842105263
Z,",",0.07989690721649485
Z,A,0.20876288659793815
Z,G,0.02835051546391753
Z,N,0.38917525773195877
Z,V,0.07989690721649485
Z,^,0.15721649484536082
^,!,0.009325681492109038
^,#,0.0021520803443328554
^,$,0.02674728427956549
^,&,0.02674728427956549
^,",",0.25835212133633945
^,@,0.001127280180364829
^,A,0.013424882147981144
^,D,0.0021520803443328554
^,E,0.005226480836236933
^,END,0.02059848329575733
^,G,0.015474482475917196
^,L,0.0031768805083008814
^,N,0.11488009838081574
^,O,0.008300881328141012
^,P,0.0626152900184464
^,R,0.018548882967821277
^,S,0.0021520803443328554
^,T,0.0021520803443328554
^,U,0.02059848329575733
^,V,0.12717770034843207
^,Z,0.010350481656077066
^,^,0.24400491904078705
^,~,0.004201680672268907
~,!,0.031705395825128005
~,#,0.02185899960614415
~,$,0.008074044899566757
~,&,0.0021662071681764474
~,",",0.031705395825128005
~,@,0.4708546671918078
~,A,0.01792044111855061
~,D,0.01988972036234738
~,E,0.008074044899566757
~,END,0.04942890901929894
~,G,0.0021662071681764474
~,L,0.013981882630957069
~,N,0.02579755809373769
~,O,0.055336746750689246
~,P,0.01595116187475384
~,R,0.01988972036234738
~,U,0.07502953918865696
~,V,0.04155179204411186
~,X,0.0061047656557699885
~,Z,0.0021662071681764474
~,^,0.0454903505317054
~,~,0.03367467506892478
@,T,0.004032258064516129
@,M,0.004032258064516129
@,Z,0.004032258064516129
@,Y,0.004032258064516129
",",S,0.003875968992248062
",",T,0.003875968992248062
",",M,0.003875968992248062
L,@,0.006756756756756757
L,L,0.006756756756756757
L,~,0.006756756756756757
L,&,0.006756756756756757
L,S,0.006756756756756757
L,X,0.006756756756756757
L,E,0.006756756756756757
L,M,0.006756756756756757
L,Z,0.006756756756756757
L,!,0.006756756756756757
L,U,0.006756756756756757
L,Y,0.006756756756756757
L,#,0.006756756756756757
L,END,0.006756756756756757
~,S,0.004032258064516129
~,T,0.004032258064516129
~,M,0.004032258064516129
~,Y,0.004032258064516129
&,~,0.0056179775280898875
&,&,0.0056179775280898875
&,S,0.0056179775280898875
&,X,0.0056179775280898875
&,E,0.0056179775280898875
&,T,0.0056179775280898875
&,M,0.0056179775280898875
&,Z,0.0056179775280898875
&,Y,0.0056179775280898875
&,#,0.0056179775280898875
&,END,0.0056179775280898875
S,@,0.014705882352941176
S,L,0.014705882352941176
S,~,0.014705882352941176
S,&,0.014705882352941176
S,S,0.014705882352941176
S,G,0.014705882352941176
S,$,0.014705882352941176
S,V,0.014705882352941176
S,R,0.014705882352941176
S,X,0.014705882352941176
S,E,0.014705882352941176
S,T,0.014705882352941176
S,M,0.014705882352941176
S,D,0.014705882352941176
S,O,0.014705882352941176
S,Z,0.014705882352941176
S,!,0.014705882352941176
S,U,0.014705882352941176
S,P,0.014705882352941176
S,Y,0.014705882352941176
S,#,0.014705882352941176
S,END,0.014705882352941176
N,S,0.004032258064516129
N,X,0.004032258064516129
N,M,0.004032258064516129
N,Y,0.004032258064516129
A,S,0.004201680672268907
A,X,0.004201680672268907
A,M,0.004201680672268907
A,Z,0.004201680672268907
A,Y,0.004201680672268907
G,L,0.005050505050505051
G,&,0.005050505050505051
G,S,0.005050505050505051
G,X,0.005050505050505051
G,T,0.005050505050505051
G,M,0.005050505050505051
G,Z,0.005050505050505051
G,Y,0.005050505050505051
G,#,0.005050505050505051
$,@,0.005050505050505051
$,L,0.005050505050505051
$,X,0.005050505050505051
$,E,0.005050505050505051
$,T,0.005050505050505051
$,D,0.005050505050505051
$,Z,0.005050505050505051
$,Y,0.005050505050505051
$,#,0.005050505050505051
V,M,0.0037313432835820895
V,Y,0.0037313432835820895
R,S,0.004201680672268907
R,X,0.004201680672268907
R,T,0.004201680672268907
R,M,0.004201680672268907
R,Y,0.004201680672268907
X,@,0.017241379310344827
X,L,0.017241379310344827
X,~,0.017241379310344827
X,&,0.017241379310344827
X,S,0.017241379310344827
X,N,0.017241379310344827
X,A,0.017241379310344827
X,G,0.017241379310344827
X,$,0.017241379310344827
X,R,0.017241379310344827
X,X,0.017241379310344827
X,E,0.017241379310344827
X,T,0.017241379310344827
X,M,0.017241379310344827
X,O,0.017241379310344827
X,Z,0.017241379310344827
X,!,0.017241379310344827
X,^,0.017241379310344827
X,U,0.017241379310344827
X,P,0.017241379310344827
X,Y,0.017241379310344827
X,#,0.017241379310344827
X,END,0.017241379310344827
E,@,0.005319148936170213
E,S,0.005319148936170213
E,A,0.005319148936170213
E,$,0.005319148936170213
E,X,0.005319148936170213
E,T,0.005319148936170213
E,M,0.005319148936170213
E,Z,0.005319148936170213
E,^,0.005319148936170213
E,Y,0.005319148936170213
T,L,0.005952380952380952
T,~,0.005952380952380952
T,S,0.005952380952380952
T,$,0.005952380952380952
T,X,0.005952380952380952
T,T,0.005952380952380952
T,M,0.005952380952380952
T,Z,0.005952380952380952
T,!,0.005952380952380952
T,U,0.005952380952380952
T,Y,0.005952380952380952
T,#,0.005952380952380952
M,@,0.020833333333333332
M,",",0.020833333333333332
M,L,0.020833333333333332
M,~,0.020833333333333332
M,&,0.020833333333333332
M,S,0.020833333333333332
M,N,0.020833333333333332
M,G,0.020833333333333332
M,$,0.020833333333333332
M,R,0.020833333333333332
M,X,0.020833333333333332
M,E,0.020833333333333332
M,T,0.020833333333333332
M,M,0.020833333333333332
M,D,0.020833333333333332
M,O,0.020833333333333332
M,Z,0.020833333333333332
M,!,0.020833333333333332
M,^,0.020833333333333332
M,U,0.020833333333333332
M,P,0.020833333333333332
M,Y,0.020833333333333332
M,#,0.020833333333333332
M,END,0.020833333333333332
D,X,0.003875968992248062
D,M,0.003875968992248062
D,Y,0.003875968992248062
O,S,0.004201680672268907
O,M,0.004201680672268907
O,Z,0.004201680672268907
O,Y,0.004201680672268907
O,#,0.004201680672268907
Z,@,0.011363636363636364
Z,L,0.011363636363636364
Z,~,0.011363636363636364
Z,&,0.011363636363636364
Z,S,0.011363636363636364
Z,$,0.011363636363636364
Z,R,0.011363636363636364
Z,X,0.011363636363636364
Z,E,0.011363636363636364
Z,T,0.011363636363636364
Z,M,0.011363636363636364
Z,D,0.011363636363636364
Z,O,0.011363636363636364
Z,Z,0.011363636363636364
Z,!,0.011363636363636364
Z,U,0.011363636363636364
Z,P,0.011363636363636364
Z,Y,0.011363636363636364
Z,#,0.011363636363636364
Z,END,0.011363636363636364
!,&,0.004807692307692308
!,S,0.004807692307692308
!,$,0.004807692307692308
!,X,0.004807692307692308
!,T,0.004807692307692308
!,M,0.004807692307692308
!,Z,0.004807692307692308
!,Y,0.004807692307692308
^,X,0.003875968992248062
^,M,0.003875968992248062
^,Y,0.003875968992248062
U,L,0.005319148936170213
U,S,0.005319148936170213
U,N,0.005319148936170213
U,X,0.005319148936170213
U,E,0.005319148936170213
U,T,0.005319148936170213
U,M,0.005319148936170213
U,D,0.005319148936170213
U,Z,0.005319148936170213
U,Y,0.005319148936170213
P,T,0.003875968992248062
P,M,0.003875968992248062
P,Y,0.003875968992248062
Y,@,0.02631578947368421
Y,",",0.02631578947368421
Y,L,0.02631578947368421
Y,~,0.02631578947368421
Y,&,0.02631578947368421
Y,S,0.02631578947368421
Y,N,0.02631578947368421
Y,A,0.02631578947368421
Y,G,0.02631578947368421
Y,$,0.02631578947368421
Y,V,0.02631578947368421
Y,R,0.02631578947368421
Y,X,0.02631578947368421
Y,E,0.02631578947368421
Y,T,0.02631578947368421
Y,M,0.02631578947368421
Y,O,0.02631578947368421
Y,Z,0.02631578947368421
Y,!,0.02631578947368421
Y,^,0.02631578947368421
Y,U,0.02631578947368421
Y,P,0.02631578947368421
Y,Y,0.02631578947368421
Y,#,0.02631578947368421
Y,END,0.02631578947368421
#,L,0.005050505050505051
#,&,0.005050505050505051
#,S,0.005050505050505051
#,A,0.005050505050505051
#,X,0.005050505050505051
#,T,0.005050505050505051
#,M,0.005050505050505051
#,Z,0.005050505050505051
#,Y,0.005050505050505051
START,T,0.003875968992248062
START,Y,0.003875968992248062
